spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
72,0,24803.5,0,0,17362.5,50625,0,0,0
71,1,15102.2,0,0,10571.5,50625,0,0,0
70,2,12495.9,0,0,8747.14,50625,0,0,0
69,3,29647.3,0,0,20753.1,50625,0,0,0
68,4,7458.81,0,0,5221.17,50625,0,0,0
67,5,24572.8,0,0,17201,50625,0,0,0
66,6,28406.8,0,0,19884.8,50625,0,0,0
65,7,34780.7,0,0,24346.5,50625,0,0,0
64,8,30028.2,0,0,21019.7,50625,0,0,0
63,9,32756,0,0,22929.2,50625,0,0,0
62,10,17585.1,0,0,12309.6,50625,0,0,0
61,11,10159.2,0,0,7111.43,50625,0,0,0
60,12,32683.4,0,0,22878.4,50625,0,0,0
59,13,43222,0,0,30255.4,50625,0,0,0
58,14,43822.3,0,0,30675.6,50625,0,0,0
57,15,49729.5,0,0,34810.6,49769,0,0,0
56,16,43288,0,0,30301.6,50625,0,0,0
55,17,12123,0,0,8486.13,50625,0,0,0
54,18,33940.2,0,0,23758.1,50625,0,0,0
53,19,7859.65,0,0,5501.76,50625,0,0,0
52,20,19153.1,0,0,13407.2,50625,0,0,0
51,21,27539.8,0,0,19277.9,50625,0,0,0
50,22,26260.1,0,0,18382.1,50625,0,0,0
49,23,24780.6,0,0,17346.4,50625,0,0,0
48,24,32286.4,0,0,22600.5,50625,0,0,0
47,25,849.677,0,0,594.774,50625,0,0,0
46,26,28568.9,0,0,19998.2,50625,0,0,0
45,27,33413.1,0,0,23389.2,50625,0,0,0
44,28,32522.7,0,0,22765.9,50625,0,0,0
43,29,21735,0,0,15214.5,50625,0,0,0
42,30,33917.2,0,0,23742,50625,0,0,0
41,31,4159.1,0,0,2911.37,50625,0,0,0
40,32,24205.7,0,0,16944,50625,0,0,0
39,33,25055.6,0,0,17538.9,50625,0,0,0
38,34,8307.41,0,0,5815.18,50625,0,0,0
37,35,44604.8,0,0,31223.4,50625,0,0,0
36,36,25834.5,0,0,18084.2,50625,0,0,0
35,37,7202.72,0,0,5041.9,50625,0,0,0
34,38,20812.7,0,0,14568.9,50625,0,0,0
33,39,6981.43,0,0,4887,50625,0,0,0
32,40,11156.9,0,0,7809.85,50625,0,0,0
31,41,16121.5,0,0,11285,50625,0,0,0
30,42,21989.3,0,0,15392.5,50625,0,0,0
29,43,37610.9,0,0,26327.6,50625,0,0,0
28,44,25392.6,0,0,17774.9,50625,0,0,0
27,45,17442.7,0,0,12209.9,50625,0,0,0
26,46,23870.1,0,0,16709.1,50625,0,0,0
25,47,6816.5,0,0,4771.55,50625,0,0,0
24,48,30050.5,0,0,21035.3,50625,0,0,0
23,49,42325.4,0,0,29627.8,50625,0,0,0
22,50,21094.8,0,0,14766.3,50625,0,0,0
21,51,22317.4,0,0,15622.2,50625,0,0,0
20,52,5580.44,0,0,3906.31,50625,0,0,0
19,53,39912.3,0,0,27938.6,50625,0,0,0
18,54,30826.5,0,0,21578.5,50625,0,0,0
17,55,21364.1,0,0,14954.9,50625,0,0,0
16,56,16147.9,0,0,11303.5,50625,0,0,0
15,57,28771,0,0,20139.7,50625,0,0,0
14,58,8025.28,0,0,5617.7,50625,0,0,0
13,59,6807.45,0,0,4765.21,50625,0,0,0
12,60,21707.1,0,0,15194.9,50625,0,0,0
11,61,39280.5,0,0,27496.4,50625,0,0,0
10,62,25076.7,0,0,17553.7,50625,0,0,0
9,63,14115,0,0,9880.5,50625,0,0,0
8,64,21931.4,0,0,15352,50625,0,0,0
7,65,16354.8,0,0,11448.4,50625,0,0,0
6,66,19138.6,0,0,13397,50625,0,0,0
5,67,26060.2,0,0,18242.1,50625,0,0,0
4,68,49993.7,0,0,34995.6,50625,0,0,0
3,69,3416.04,0,0,2391.23,50625,0,0,0
2,70,32333.5,0,0,22633.4,50625,0,0,0
1,71,36974.4,0,0,25882.1,50625,0,0,0
