spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
72,0,24803.5,0,0,14882.1,50625,0,0,0
71,1,15102.2,0,0,9061.31,50625,0,0,0
70,2,12495.9,0,0,7497.55,50625,0,0,0
69,3,29647.3,0,0,17788.4,50625,0,0,0
68,4,7458.81,0,0,4475.28,50625,0,0,0
67,5,24572.8,0,0,14743.7,50625,0,0,0
66,6,28406.8,0,0,17044.1,50625,0,0,0
65,7,34780.7,0,0,20868.4,50625,0,0,0
64,8,30028.2,0,0,18016.9,50625,0,0,0
63,9,32756,0,0,19653.6,50625,0,0,0
62,10,17585.1,0,0,10551.1,50625,0,0,0
61,11,10159.2,0,0,6095.51,50625,0,0,0
60,12,32683.4,0,0,19610.1,50625,0,0,0
59,13,43222,0,0,25933.2,50625,0,0,0
58,14,43822.3,0,0,26293.4,50625,0,0,0
57,15,49729.5,0,0,29837.7,49769,0,0,0
56,16,43288,0,0,25972.8,50625,0,0,0
55,17,12123,0,0,7273.83,50625,0,0,0
54,18,33940.2,0,0,20364.1,50625,0,0,0
53,19,7859.65,0,0,4715.79,50625,0,0,0
52,20,19153.1,0,0,11491.9,50625,0,0,0
51,21,27539.8,0,0,16523.9,50625,0,0,0
50,22,26260.1,0,0,15756,50625,0,0,0
49,23,24780.6,0,0,14868.4,50625,0,0,0
48,24,32286.4,0,0,19371.9,50625,0,0,0
47,25,849.677,0,0,509.806,50625,0,0,0
46,26,28568.9,0,0,17141.3,50625,0,0,0
45,27,33413.1,0,0,20047.8,50625,0,0,0
44,28,32522.7,0,0,19513.6,50625,0,0,0
43,29,21735,0,0,13041,50625,0,0,0
42,30,33917.2,0,0,20350.3,50625,0,0,0
41,31,4159.1,0,0,2495.46,50625,0,0,0
40,32,24205.7,0,0,14523.4,50625,0,0,0
39,33,25055.6,0,0,15033.4,50625,0,0,0
38,34,8307.41,0,0,4984.44,50625,0,0,0
37,35,44604.8,0,0,26762.9,50625,0,0,0
36,36,25834.5,0,0,15500.7,50625,0,0,0
35,37,7202.72,0,0,4321.63,50625,0,0,0
34,38,20812.7,0,0,12487.6,50625,0,0,0
33,39,6981.43,0,0,4188.86,50625,0,0,0
32,40,11156.9,0,0,6694.16,50625,0,0,0
31,41,16121.5,0,0,9672.87,50625,0,0,0
30,42,21989.3,0,0,13193.6,50625,0,0,0
29,43,37610.9,0,0,22566.6,50625,0,0,0
28,44,25392.6,0,0,15235.6,50625,0,0,0
27,45,17442.7,0,0,10465.6,50625,0,0,0
26,46,23870.1,0,0,14322.1,50625,0,0,0
25,47,6816.5,0,0,4089.9,50625,0,0,0
24,48,30050.5,0,0,18030.3,50625,0,0,0
23,49,42325.4,0,0,25395.2,50625,0,0,0
22,50,21094.8,0,0,12656.9,50625,0,0,0
21,51,22317.4,0,0,13390.4,50625,0,0,0
20,52,5580.44,0,0,3348.27,50625,0,0,0
19,53,39912.3,0,0,23947.4,50625,0,0,0
18,54,30826.5,0,0,18495.9,50625,0,0,0
17,55,21364.1,0,0,12818.5,50625,0,0,0
16,56,16147.9,0,0,9688.72,50625,0,0,0
15,57,28771,0,0,17262.6,50625,0,0,0
14,58,8025.28,0,0,4815.17,50625,0,0,0
13,59,6807.45,0,0,4084.47,50625,0,0,0
12,60,21707.1,0,0,13024.2,50625,0,0,0
11,61,39280.5,0,0,23568.3,50625,0,0,0
10,62,25076.7,0,0,15046,50625,0,0,0
9,63,14115,0,0,8469,50625,0,0,0
8,64,21931.4,0,0,13158.8,50625,0,0,0
7,65,16354.8,0,0,9812.88,50625,0,0,0
6,66,19138.6,0,0,11483.2,50625,0,0,0
5,67,26060.2,0,0,15636.1,50625,0,0,0
4,68,49993.7,0,0,29996.2,50625,0,0,0
3,69,3416.04,0,0,2049.62,50625,0,0,0
2,70,32333.5,0,0,19400.1,50625,0,0,0
1,71,36974.4,0,0,22184.6,50625,0,0,0
